seed,checkpoint,batch,batch_hash,scope,instances_or_assigned_positives,box_loss,cls_loss,dfl_loss,loc_norm,cls_norm,cls_to_loc_norm_ratio,log10_cls_to_loc_ratio,cosine,conflict,finite
43,best,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,D10,40,1.774423599243164,1.4367210865020752,0.014752136543393135,0.01528372522443533,0.03035605512559414,1.9861685995938645,0.2980161116142423,0.02165238931775093,0,1
43,best,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,D20,110,1.774423599243164,1.4367210865020752,0.014752136543393135,0.010393290780484676,0.013451171107590199,1.2942167588390059,0.11200701921063615,0.08608739078044891,0,1
43,best,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,D40,27,1.774423599243164,1.4367210865020752,0.014752136543393135,0.0,0.0020912473555654287,,,,,1
43,best,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,all,20,1.70904541015625,1.1076295375823975,0.017647817730903625,0.009442485868930817,0.016250085085630417,1.7209541333918281,0.23576929573123392,-0.10556918382644653,1,1
43,best,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,D00,70,1.70904541015625,1.1076295375823975,0.017647817730903625,0.02181003801524639,0.023794731125235558,1.0909990669709864,0.037824379177227904,-0.00029027383425273,1,1
43,best,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,D10,40,1.70904541015625,1.1076295375823975,0.017647817730903625,0.037685249000787735,0.08048488199710846,2.135713153850359,0.32954292248320066,-0.24175074696540833,1,1
43,best,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,D20,90,1.70904541015625,1.1076295375823975,0.017647817730903625,0.007918065413832664,0.006711969152092934,0.8476779113705337,-0.0717691334580912,0.1332309991121292,0,1
43,best,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,all,17,1.316854476928711,0.855451762676239,0.012423033826053143,0.02418549358844757,0.00689528277143836,0.2850999400207386,-0.5450028740573061,0.06465792655944824,0,1
43,best,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,D00,50,1.316854476928711,0.855451762676239,0.012423033826053143,0.10247945785522461,0.013824183493852615,0.13489711775585697,-0.8699973294689352,0.012214938178658485,0,1
43,best,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,D10,30,1.316854476928711,0.855451762676239,0.012423033826053143,0.03902619704604149,0.021124854683876038,0.5412993394912092,-0.2665625028470471,0.10656961798667908,0,1
43,best,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,D20,80,1.316854476928711,0.855451762676239,0.012423033826053143,0.007809352595359087,0.006773063912987709,0.8673015887402472,-0.061829858059707865,0.22667723894119263,0,1
43,best,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,D40,10,1.316854476928711,0.855451762676239,0.012423033826053143,0.07854276895523071,0.04075440391898155,0.5188816801481944,-0.2849316624154976,-0.33467158675193787,1,1
43,best,4,aebb281f8c5a342bc96208dae814f3fceb96b28b4c180382086623c0d6c23b4f,all,30,1.6594699621200562,1.7332875728607178,0.012496380135416985,0.012328197248280048,0.013979947194457054,1.133981466463594,0.05460595660418363,-0.06241227313876152,1,1
43,best,4,aebb281f8c5a342bc96208dae814f3fceb96b28b4c180382086623c0d6c23b4f,D00,90,1.6594699621200562,1.7332875728607178,0.012496380135416985,0.017654424533247948,0.01411005761474371,0.7992363380732542,-0.0973247787035796,0.17104171216487885,0,1
43,best,4,aebb281f8c5a342bc96208dae814f3fceb96b28b4c180382086623c0d6c23b4f,D10,26,1.6594699621200562,1.7332875728607178,0.012496380135416985,0.03179170563817024,0.033128704875707626,1.0420549703357889,0.017890629408620427,-0.13038858771324158,1,1
43,best,4,aebb281f8c5a342bc96208dae814f3fceb96b28b4c180382086623c0d6c23b4f,D20,100,1.6594699621200562,1.7332875728607178,0.012496380135416985,0.01011361088603735,0.027507055550813675,2.719805602644785,0.43453786406517436,-0.282316118478775,1,1
43,best,4,aebb281f8c5a342bc96208dae814f3fceb96b28b4c180382086623c0d6c23b4f,D40,67,1.6594699621200562,1.7332875728607178,0.012496380135416985,0.04001929610967636,0.02689547650516033,0.6720627077360616,-0.1725902026111014,-0.019924979656934738,1,1
